source,lat1,lon1,dest,lat2,lon2
INC,38.481899,106.009003,CTU,30.57850075,103.9469986
INC,38.481899,106.009003,HRB,45.62340164,126.25
INC,38.481899,106.009003,KWL,25.21809959,110.0390015
JGN,39.856899,98.3414,LHW,36.51520157,103.6200027
JHG,21.97389984,100.7600021,CTU,30.57850075,103.9469986
JHG,21.97389984,100.7600021,KMG,25.1019444,102.9291667
JIQ,29.51333333,108.8311111,CTU,30.57850075,103.9469986
JJN,24.7964,118.589996,KWE,26.53849983,106.8010025
JJN,24.7964,118.589996,WUH,30.7838,114.208
JZH,32.85333333,103.6822222,CTU,30.57850075,103.9469986
KHG,39.54290009,76.01999664,URC,43.90710068,87.47419739
KHN,28.86499977,115.9000015,CKG,29.71920013,106.6419983
KHN,28.86499977,115.9000015,CTU,30.57850075,103.9469986
KHN,28.86499977,115.9000015,KMG,25.1019444,102.9291667
KHN,28.86499977,115.9000015,NGB,29.82670021,121.461998
KMG,25.1019444,102.9291667,CGO,34.5196991,113.8410034
KMG,25.1019444,102.9291667,CKG,29.71920013,106.6419983
KMG,25.1019444,102.9291667,CSX,28.18919945,113.2200012
KMG,25.1019444,102.9291667,CTU,30.57850075,103.9469986
KMG,25.1019444,102.9291667,JHG,21.97389984,100.7600021
KMG,25.1019444,102.9291667,KHN,28.86499977,115.9000015
KMG,25.1019444,102.9291667,KWE,26.53849983,106.8010025
KMG,25.1019444,102.9291667,LUM,24.4011,98.5317
KMG,25.1019444,102.9291667,NGB,29.82670021,121.461998
KMG,25.1019444,102.9291667,NKG,31.74200058,118.8619995
KMG,25.1019444,102.9291667,TAO,36.26610184,120.3740005
KMG,25.1019444,102.9291667,TNA,36.85720062,117.2160034
KMG,25.1019444,102.9291667,WXN,30.8017,108.433
KMG,25.1019444,102.9291667,XIY,34.447102,108.751999
KMG,25.1019444,102.9291667,XMN,24.54400063,118.1279984
KMG,25.1019444,102.9291667,XUZ,34.059056,117.555278
KOW,25.853333,114.778889,CTU,30.57850075,103.9469986
KOW,25.853333,114.778889,XMN,24.54400063,118.1279984
KWE,26.53849983,106.8010025,CTU,30.57850075,103.9469986
KWE,26.53849983,106.8010025,HGH,30.22949982,120.4339981
KWE,26.53849983,106.8010025,JJN,24.7964,118.589996
KWE,26.53849983,106.8010025,KMG,25.1019444,102.9291667
KWE,26.53849983,106.8010025,LHW,36.51520157,103.6200027
KWE,26.53849983,106.8010025,SYX,18.30290031,109.4120026
KWE,26.53849983,106.8010025,WNZ,27.912201,120.851997
KWE,26.53849983,106.8010025,XUZ,34.059056,117.555278
KWL,25.21809959,110.0390015,INC,38.481899,106.009003
KWL,25.21809959,110.0390015,SJW,38.28070068,114.6969986
KWL,25.21809959,110.0390015,SYX,18.30290031,109.4120026
LHW,36.51520157,103.6200027,CKG,29.71920013,106.6419983
LHW,36.51520157,103.6200027,CTU,30.57850075,103.9469986
LHW,36.51520157,103.6200027,DNH,40.16109848,94.80919647
LHW,36.51520157,103.6200027,JGN,39.856899,98.3414
LHW,36.51520157,103.6200027,KWE,26.53849983,106.8010025
LHW,36.51520157,103.6200027,TSN,39.12440109,117.3460007
LJG,26.68000031,100.2460022,CKG,29.71920013,106.6419983
